iter	Passed	Remaining
404	6785	9969
405	6799	9948
406	6812	9926
407	6824	9902
408	6838	9882
409	6851	9859
410	6864	9837
411	6878	9817
412	6891	9795
413	6904	9773
414	6918	9752
415	6931	9731
416	6945	9710
417	6959	9690
418	6973	9669
419	6987	9649
420	7002	9630
421	7017	9611
422	7033	9594
423	7051	9579
424	7070	9565
425	7085	9547
426	7100	9528
427	7117	9512
428	7132	9493
429	7147	9475
430	7162	9455
431	7177	9437
432	7192	9417
433	7206	9398
434	7221	9379
435	7236	9360
436	7250	9341
437	7265	9322
438	7280	9304
439	7295	9285
440	7311	9268
441	7327	9250
442	7342	9232
443	7363	9221
444	7381	9206
445	7397	9188
446	7414	9172
447	7430	9155
448	7448	9140
449	7463	9122
450	7480	9106
451	7499	9091
452	7515	9074
453	7530	9056
454	7566	9063
455	7595	9060
456	7618	9052
457	7639	9040
458	7658	9026
459	7680	9015
460	7695	8997
461	7708	8977
462	7723	8957
463	7737	8937
464	7750	8916
465	7764	8897
466	7780	8880
467	7796	8862
468	7811	8844
469	7828	8827
470	7843	8809
471	7856	8789
472	7871	8770
473	7887	8753
474	7903	8734
475	7919	8717
476	7935	8701
477	7951	8683
478	7967	8666
479	7983	8648
480	7999	8631
481	8016	8615
482	8033	8598
483	8049	8582
484	8066	8565
485	8083	8549
486	8101	8533
487	8124	8523
488	8142	8508
489	8158	8491
490	8174	8474
491	8190	8457
492	8208	8441
493	8228	8427
494	8242	8409
495	8257	8391
496	8273	8373
497	8289	8355
498	8304	8338
499	8319	8319
500	8335	8302
501	8351	8284
502	8367	8267
503	8381	8248
504	8395	8229
505	8411	8211
506	8427	8195
507	8444	8178
508	8461	8161
509	8476	8144
510	8491	8126
511	8507	8108
512	8521	8089
513	8535	8070
514	8549	8051
515	8564	8033
516	8577	8013
517	8592	7994
518	8606	7976
519	8620	7957
520	8633	7937
521	8648	7919
522	8662	7900
523	8674	7880
524	8688	7861
525	8703	7843
526	8717	7824
527	8731	7805
528	8748	7788
529	8762	7770
530	8775	7751
531	8789	7732
532	8803	7713
533	8816	7693
534	8830	7674
535	8844	7656
536	8859	7638
537	8872	7619
538	8886	7600
539	8899	7581
540	8911	7561
541	8924	7541
542	8937	7521
543	8950	7502
544	8963	7483
545	8976	7463
546	8989	7444
547	9003	7426
548	9017	7408
549	9031	7389
550	9043	7369
551	9057	7350
552	9071	7332
553	9083	7312
554	9097	7294
555	9109	7274
556	9122	7255
557	9135	7236
558	9148	7217
559	9162	7199
560	9176	7180
561	9188	7161
562	9201	7142
563	9214	7123
564	9228	7105
565	9241	7086
566	9254	7067
567	9268	7049
568	9283	7031
569	9297	7013
570	9311	6995
571	9324	6976
572	9337	6958
573	9351	6940
574	9363	6920
575	9377	6902
576	9390	6884
577	9403	6865
578	9418	6848
579	9432	6830
580	9445	6811
581	9458	6793
582	9472	6775
583	9485	6756
584	9499	6738
585	9512	6720
586	9525	6701
587	9539	6683
588	9554	6666
589	9565	6647
590	9578	6628
591	9591	6610
592	9604	6591
593	9615	6572
594	9630	6554
595	9642	6536
596	9655	6517
597	9668	6499
598	9680	6480
599	9694	6462
600	9707	6444
601	9720	6426
602	9733	6408
603	9745	6389
604	9758	6371
605	9771	6352
606	9783	6334
607	9798	6317
608	9811	6299
609	9824	6281
610	9836	6262
611	9849	6244
612	9862	6226
613	9875	6208
614	9887	6189
615	9901	6172
616	9914	6154
617	9927	6136
618	9940	6118
619	9954	6100
620	9966	6082
621	9981	6065
622	9995	6048
623	10009	6031
624	10022	6013
625	10035	5995
626	10048	5978
627	10062	5960
628	10074	5942
629	10087	5924
630	10100	5906
631	10113	5888
632	10126	5871
633	10139	5853
634	10152	5835
635	10165	5817
636	10178	5800
637	10192	5783
638	10205	5765
639	10219	5748
640	10232	5730
641	10246	5713
642	10260	5696
643	10272	5678
644	10285	5661
645	10298	5643
646	10311	5626
647	10325	5608
648	10339	5592
649	10354	5575
650	10369	5559
651	10384	5542
652	10399	5526
653	10415	5510
654	10430	5493
655	10446	5477
656	10460	5461
657	10475	5444
658	10490	5428
659	10506	5412
660	10520	5395
661	10534	5378
662	10548	5361
663	10562	5344
664	10577	5328
665	10593	5312
666	10607	5295
667	10621	5278
668	10635	5262
669	10649	5245
670	10663	5228
671	10677	5211
672	10689	5193
673	10702	5176
674	10716	5159
675	10728	5142
676	10741	5124
677	10753	5107
678	10767	5090
679	10779	5072
680	10792	5055
681	10806	5038
682	10818	5021
683	10831	5004
684	10843	4986
685	10856	4969
686	10868	4951
687	10882	4935
688	10896	4918
689	10910	4901
690	10924	4885
691	10937	4868
692	10950	4850
693	10964	4834
694	10977	4817
695	10990	4800
696	11004	4783
697	11017	4767
698	11031	4750
699	11044	4733
700	11057	4716
701	11071	4699
702	11084	4683
703	11098	4666
704	11113	4650
705	11126	4633
706	11139	4616
707	11153	4599
708	11166	4583
709	11180	4566
710	11193	4549
711	11207	4533
712	11220	4516
713	11234	4500
714	11248	4483
715	11261	4467
716	11274	4449
717	11286	4432
718	11300	4416
719	11314	4400
720	11328	4383
721	11341	4366
722	11353	4349
723	11365	4332
724	11378	4315
725	11391	4299
726	11404	4282
727	11417	4265
728	11430	4249
729	11444	4232
730	11457	4216
731	11471	4200
732	11484	4183
733	11497	4166
734	11513	4151
735	11528	4135
736	11539	4117
737	11552	4101
738	11565	4084
739	11577	4067
740	11589	4050
741	11603	4034
742	11616	4018
743	11629	4001
744	11642	3985
745	11654	3968
746	11668	3951
747	11681	3935
748	11693	3918
749	11707	3902
750	11719	3885
751	11733	3869
752	11745	3852
753	11758	3836
754	11771	3819
755	11783	3803
756	11796	3786
757	11807	3769
758	11820	3753
759	11833	3736
760	11846	3720
761	11859	3704
762	11872	3687
763	11885	3671
764	11898	3654
765	11911	3638
766	11924	3622
767	11937	3606
768	11950	3589
769	11963	3573
770	11977	3557
771	11990	3541
772	12003	3524
773	12016	3508
774	12029	3492
775	12042	3476
776	12054	3459
777	12067	3443
778	12079	3427
779	12092	3410
780	12103	3394
781	12117	3377
782	12129	3361
783	12144	3345
784	12157	3329
785	12169	3313
786	12182	3297
787	12194	3280
788	12208	3264
789	12220	3248
790	12234	3232
791	12247	3216
792	12259	3200
793	12273	3184
794	12285	3168
795	12298	3151
796	12311	3135
797	12324	3119
798	12338	3103
799	12350	3087
800	12363	3071
801	12378	3056
802	12390	3039
803	12403	3023
804	12416	3007
805	12428	2991
806	12444	2976
807	12459	2960
808	12475	2945
809	12490	2929
810	12505	2914
811	12519	2898
812	12534	2883
813	12549	2867
814	12563	2851
815	12578	2836
816	12592	2820
817	12607	2805
818	12622	2789
819	12636	2773
820	12651	2758
821	12667	2743
822	12681	2727
823	12698	2712
824	12714	2697
825	12731	2681
826	12745	2666
827	12760	2650
828	12773	2634
829	12787	2619
830	12801	2603
831	12814	2587
832	12829	2571
833	12842	2556
834	12856	2540
835	12871	2525
836	12885	2509
837	12898	2493
838	12913	2477
839	12928	2462
840	12942	2446
841	12955	2430
842	12969	2415
843	12982	2399
844	12995	2383
845	13008	2367
846	13020	2351
847	13032	2336
848	13044	2320
849	13058	2304
850	13070	2288
851	13083	2272
852	13096	2256
853	13109	2241
854	13122	2225
855	13134	2209
856	13147	2193
857	13159	2177
858	13173	2162
859	13186	2146
860	13199	2130
861	13212	2115
862	13224	2099
863	13239	2083
864	13253	2068
865	13266	2052
866	13280	2037
867	13294	2021
868	13308	2006
869	13322	1990
870	13336	1975
871	13349	1959
872	13363	1944
873	13377	1928
874	13390	1912
875	13404	1897
876	13418	1881
877	13432	1866
878	13447	1851
879	13461	1835
880	13474	1820
881	13487	1804
882	13502	1789
883	13515	1773
884	13528	1757
885	13542	1742
886	13556	1727
887	13569	1711
888	13583	1696
889	13597	1680
890	13611	1665
891	13625	1649
892	13639	1634
893	13652	1618
894	13665	1603
895	13679	1587
896	13690	1572
897	13703	1556
898	13716	1540
899	13729	1525
900	13741	1509
901	13754	1494
902	13767	1478
903	13779	1463
904	13793	1447
905	13805	1432
906	13818	1416
907	13830	1401
908	13843	1385
909	13856	1370
910	13868	1354
911	13881	1339
912	13894	1324
913	13908	1308
914	13919	1293
915	13933	1277
916	13955	1263
917	13968	1247
918	13982	1232
919	13995	1217
920	14009	1201
921	14022	1186
922	14034	1170
923	14048	1155
924	14061	1140
925	14073	1124
926	14086	1109
927	14099	1093
928	14113	1078
929	14125	1063
930	14138	1047
931	14150	1032
932	14163	1017
933	14175	1001
934	14189	986
935	14203	971
936	14215	955
937	14228	940
938	14242	925
939	14254	909
940	14267	894
941	14280	879
942	14293	864
943	14307	848
944	14320	833
945	14333	818
946	14345	802
947	14358	787
948	14371	772
949	14384	757
950	14398	741
951	14410	726
952	14424	711
953	14438	696
954	14452	681
955	14466	665
956	14478	650
957	14490	635
958	14503	620
959	14517	604
960	14530	589
961	14543	574
962	14555	559
963	14569	544
964	14581	528
965	14595	513
966	14608	498
967	14621	483
968	14633	468
969	14647	453
970	14660	437
971	14673	422
972	14686	407
973	14700	392
974	14713	377
975	14726	362
976	14739	346
977	14753	331
978	14767	316
979	14780	301
980	14793	286
981	14806	271
982	14818	256
983	14832	241
984	14845	226
985	14858	210
986	14870	195
987	14883	180
988	14895	165
989	14908	150
990	14922	135
991	14934	120
992	14949	105
993	14964	90
994	14979	75
995	14995	60
996	15010	45
997	15025	30
998	15039	15
999	15054	0
